"NC - Dia Emissão"	"NC - Descrição"	"NC Célula - PTRES"	"NC Célula - Natureza Despesa"	"NC Célula - Plano Interno"	"NC Célula - Valor"
"09/01/2026"	"DESCENTRALIZACAO ORCAMENTARIA PARA FAZER FACE A DESPESAS COM DIARIAS E PASSAGENS DOS CAMPI PARA INICIO DE ANO."	"231796"	"339000"	"L20RLP01ADN"	"10000"
"19/01/2026"	"DESCENTRALIZACAO ORCAMENTARIA RELATIVA A 1/12 DO ORCAMENTO 2026 CONFORME PROCESSO 23421.000264.2026-55"	"231796"	"339000"	"L20RLP01ADN"	"173613,72"
"22/01/2026"	"MOVIMENTACAO DE CREDITO PARA REALIZACAO DE REUNIOES E DE ATIVIDADES DE INTEGRACAO, ARTICULACAO E FORMACAO CONTINUADA DE EQUIPES E COLEGIADOS VINCULADOS A POLITICA DE ENSINO. PROCESSO 23421.000273.2026-46"	"231796"	"339000"	"L20RLP19ENN"	"1000"
"22/01/2026"	"MOVIMENTACAO DE RECURSO PARA  REALIZACAO DE REUNIOES E DE ATIVIDADES DE INTEGRACAO, ARTICULACAO E FORMACAO CONTINUADA DE EQUIPES E COLEGIADOS VINCULADOS A POLITICA DE ENSINO. PROCESSO 23421.000273.2026-46"	"231798"	"339000"	"L21B3P19ENN"	"1000"
"22/01/2026"	"PROCESSO 23421.000338.2026-53 (SUPERVISAO E PLANEJAMENTO DA ALIMENTACAO E NUTRICAO ESCOLAR/GESTAO DO SERVICO SOCIA)"	"231802"	"339000"	"L2994P23AEN"	"10000"
"22/01/2026"	"PROCESSO 23421.000338.2026-53 (SUPERVISAO E PLANEJAMENTO DA ALIMENTACAO E NUTRICAO ESCOLAR/GESTAO DO SERVICO SOCIAL)"	"261941"	"339000"	"L21IVP23AEN"	"10000"
"11/02/2026"	"PROCESSO 23421.000749.2026-49"	"231802"	"339000"	"L2994P23AEN"	"34896,19"
"11/02/2026"	"PROCESSO 23421.000749.2026-49"	"261941"	"339000"	"L21IVP23AEN"	"53029,69"
"24/02/2026"	"PROCESSO 23421.000264.2026-55"	"231796"	"339000"	"L20RLP01ADN"	"416882,31"
"17/03/2026"	"PROCESSOS: 23421.001351.2026-20 (R$ 3.200,00), 23421.001350.2026-85 (R$ 3.200,00) E 23421.001349.2026-51 (R$ 12.800,00 PARA O CNAT E R$ 6.400,00 PARA OS DEMAIS)."	"231802"	"339000"	"L2994P19ENN"	"12800"
"18/03/2026"	"PROCESSO 23421.001393.2026-61"	"231802"	"339000"	"L2994P19ENN"	"30992,5"
"18/03/2026"	"PROCESSO 23421.001442.2026-65"	"231798"	"339000"	"L21B3P21EXN"	"3217,5"
"19/03/2026"	"PROCESSO 23421.001442.2026-65"	"231798"	"339000"	"L21B3P19ENN"	"3217,5"
"19/03/2026"	"PROCESSO 23421.001442.2026-65 - ESTORNO PARA AJUSTE NO PI"	"231798"	"339000"	"L21B3P19ENN"	"3217,5"
"19/03/2026"	"PROCESSO 23421.001442.2026-65 - ESTORNO PARA AJUSTE NO PI"	"231798"	"339000"	"L21B3P21EXN"	"3217,5"
"25/03/2026"	"PROCESSO 23421.001697.2026-28"	"231796"	"339000"	"L20RLP19ENN"	"7095"
"25/03/2026"	"PROCESSO 23421.001697.2026-28"	"231798"	"339000"	"L21B3P19ENN"	"7095"
